id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low
162033,GUA-2014-2-461-6,2014,True,Clear,2,2-461,4979,Jalisco Cartel New Generation - Los Zetas,461,5589,Jalisco Cartel New Generation - Los Zetas,2036,1151,Jalisco Cartel New Generation,1973,1088,Los Zetas,1,"""Borderland Beat,2014-03-30,Six Men Found Executed In Oaxaca""",Borderland Beat,2014-03-30,Six Men Found Executed In Oaxaca,Attorney General,3,San Miguel Soyaltepec municipality,"in San Miguel Soyaltepec
Oaxaca",Oaxaca state,San Miguel Soyaltepec municipality,18.25404,-96.396,POINT (-96.396000 18.254040),155688,Mexico,70,Americas,1,2,2014-03-28T00:00:00,2014-03-29T00:00:00,0,0,0,6,6,6,6
162059,MEX-2014-2-14336-8,2014,True,Clear,2,2-14336,13393,Sinaloa Cartel - Los Chavez Matamoros faction - Sinaloa Cartel - Los Salgueiro faction,14336,14336,Sinaloa Cartel - Los Chavez Matamoros faction - Sinaloa Cartel - Los Salgueiro faction,6008,6008,Sinaloa Cartel - Los Chavez Matamoros faction,6007,6007,Sinaloa Cartel - Los Salgueiro faction,1,"""Borderland Beat,2014-04-06,5 die in southern Chihuahua""",Borderland Beat,2014-04-06,5 die in southern Chihuahua,"El Sol de Parral news daily
Borderland Beat",2,"Road between Guadlupe y Calvo and Parral, near the village of Turuachi","on the Guadlupe y Calvo to Parral road, near the village of Turuachi
southern Chihuahua",Chihuahua state,Guadalupe y Calvo municipality,26.1318,-106.6905,POINT (-106.690500 26.131800),167187,Mexico,70,Americas,1,1,2014-04-04T00:00:00,2014-04-04T00:00:00,0,0,0,3,3,3,3
162060,MEX-2014-2-96-23,2014,True,Clear,2,2-96,4652,Juarez Cartel - Sinaloa Cartel,96,5262,Juarez Cartel - Sinaloa Cartel,1654,793,Juarez Cartel,1636,775,Sinaloa Cartel,1,"""Borderland Beat,2014-04-06,5 die in southern Chihuahua""",Borderland Beat,2014-04-06,5 die in southern Chihuahua,,2,San José y Anexas village,"near a location called San José y Anexas, Bachiniva municipality
southern Chihuahua",Chihuahua state,Bachíniva municipality,28.89766,-107.23634,POINT (-107.236340 28.897660),170786,Mexico,70,Americas,1,1,2014-04-01T00:00:00,2014-04-01T00:00:00,0,0,0,1,1,1,1
162069,MEX-2014-2-14333-2,2014,True,Clear,2,2-14333,13391,Gulf Cartel - Dragones de Sheyla faction - Gulf Cartel - Los Fresitas faction,14333,14333,Gulf Cartel - Dragones de Sheyla faction - Gulf Cartel - Los Fresitas faction,6003,6003,Gulf Cartel - Dragones de Sheyla faction,6002,6002,Gulf Cartel - Los Fresitas faction,1,"""Borderland Beat,2014-04-07,Bloodbath in Tamaulipas: Death toll climbs to at least 24""",Borderland Beat,2014-04-07,Bloodbath in Tamaulipas: Death toll climbs to at least 24,Tamaulipas' government website,1,Tampico town,"Pueblo colony and Echeverria colony in Tampico, Tamaulipas
",Tamaulipas state,Tampico municipality,22.27817,-97.86772,POINT (-97.867720 22.278170),161445,Mexico,70,Americas,1,1,2014-04-07T00:00:00,2014-04-07T00:00:00,0,0,0,3,3,3,3
162080,MEX-2014-2-X4574-19,2014,True,Clear,2,2-11663,11053,Beltrán Leyva Cartel - Sinaloa Cartel,11663,11663,Beltrán Leyva Cartel - Sinaloa Cartel,1974,1089,Beltrán Leyva Cartel,1636,775,Sinaloa Cartel,1,"""Borderland Beat,2014-04-12,Bloody Sinaloa: 7 die.""",Borderland Beat,2014-04-12,Bloody Sinaloa: 7 die.,Milenio news daily,1,Tamazula town,"Tamazula, Sinaloa",Sinaloa state,Guasave municipality,25.44639,-108.45528,POINT (-108.455280 25.446390),165744,Mexico,70,Americas,1,2,2014-04-09T00:00:00,2014-04-12T00:00:00,0,0,0,4,4,4,4
162086,MEX-2014-2-X4574-27,2014,True,Clear,2,2-11663,11053,Beltrán Leyva Cartel - Sinaloa Cartel,11663,11663,Beltrán Leyva Cartel - Sinaloa Cartel,1974,1089,Beltrán Leyva Cartel,1636,775,Sinaloa Cartel,1,"""Borderland Beat,2014-04-13,10 die in Durango state""",Borderland Beat,2014-04-13,10 die in Durango state,Borderland Beat,1,Los Naranjos village,"village of Los Naranjos, Pueblo Nuevo
Durango state",Durango state,Pueblo Nuevo municipality,23.36002,-105.49147,POINT (-105.491470 23.360020),162870,Mexico,70,Americas,1,3,2014-04-07T00:00:00,2014-04-13T00:00:00,0,0,0,1,1,1,1
162119,MEX-2014-2-14333-3,2014,True,Clear,2,2-14333,13391,Gulf Cartel - Dragones de Sheyla faction - Gulf Cartel - Los Fresitas faction,14333,14333,Gulf Cartel - Dragones de Sheyla faction - Gulf Cartel - Los Fresitas faction,6003,6003,Gulf Cartel - Dragones de Sheyla faction,6002,6002,Gulf Cartel - Los Fresitas faction,1,"""Borderland Beat,2014-04-16,4 die in Tamaulipas state""",Borderland Beat,2014-04-16,4 die in Tamaulipas state,Proceso,1,Tampico town,"municipality of Tampico, La Puntilla market
Tamaulipas state",Tamaulipas state,Tampico municipality,22.27817,-97.86772,POINT (-97.867720 22.278170),161445,Mexico,70,Americas,1,1,2014-04-15T00:00:00,2014-04-15T00:00:00,0,0,0,1,1,1,1
162120,MEX-2014-2-14333-5,2014,True,Clear,2,2-14333,13391,Gulf Cartel - Dragones de Sheyla faction - Gulf Cartel - Los Fresitas faction,14333,14333,Gulf Cartel - Dragones de Sheyla faction - Gulf Cartel - Los Fresitas faction,6003,6003,Gulf Cartel - Dragones de Sheyla faction,6002,6002,Gulf Cartel - Los Fresitas faction,1,"""Borderland Beat,2014-04-16,4 die in Tamaulipas state""",Borderland Beat,2014-04-16,4 die in Tamaulipas state,,1,Tampico town," in Tampico, Tamaulipas state",Tamaulipas state,Tampico municipality,22.27817,-97.86772,POINT (-97.867720 22.278170),161445,Mexico,70,Americas,1,1,2014-04-15T00:00:00,2014-04-15T00:00:00,0,0,0,2,2,2,2
162148,MEX-2014-2-X4574-16,2014,True,Clear,2,2-11663,11053,Beltrán Leyva Cartel - Sinaloa Cartel,11663,11663,Beltrán Leyva Cartel - Sinaloa Cartel,1974,1089,Beltrán Leyva Cartel,1636,775,Sinaloa Cartel,1,"""Borderland Beat,2014-04-26,Arrest and killings of armed wing of CDS credited with reduction in Sinaloa homicides""",Borderland Beat,2014-04-26,Arrest and killings of armed wing of CDS credited with reduction in Sinaloa homicides,Borderland Beat,1,Mazatlán town,"in Mazatlán, Sinaloa",Sinaloa state,Mazatlán municipality,23.2329,-106.4062,POINT (-106.406200 23.232900),162868,Mexico,70,Americas,1,1,2014-03-15T00:00:00,2014-03-15T00:00:00,0,0,0,5,5,5,5
162155,MEX-2014-2-414-24,2014,True,Clear,2,2-414,4933,Gulf Cartel - Los Zetas,414,5543,Gulf Cartel - Los Zetas,1643,782,Gulf Cartel,1973,1088,Los Zetas,1,"""Borderland Beat,2014-04-27,3 die, 8 wounded in Tamaulipas state""",Borderland Beat,2014-04-27,"3 die, 8 wounded in Tamaulipas state",state government,1,Ciudad Victoria,"state capital of Ciuidad Victoria, Sierra Ventana colony
Tamaulipas state",Tamaulipas state,Victoria municipality,23.741744,-99.145993,POINT (-99.145993 23.741744),163602,Mexico,70,Americas,1,1,2014-04-25T00:00:00,2014-04-25T00:00:00,0,0,0,2,2,2,2
